Date,"it.wikipedia.org"
2019-11-29,4973961
2019-11-30,3934839
2019-12-01,4112335
2019-12-02,5165647
2019-12-03,5231638
2019-12-04,5186820
2019-12-05,5439350
2019-12-06,4805834
2019-12-07,3672264
2019-12-08,4093850
2019-12-09,5727253
2019-12-10,5235939
2019-12-11,5775371
2019-12-12,5686129
2019-12-13,5171123
2019-12-14,3847337
2019-12-15,4151617
2019-12-16,5232570
2019-12-17,5573132
2019-12-18,5212102
2019-12-19,4910618
2019-12-20,4346921
2019-12-21,4444274
2019-12-22,5916011
2019-12-23,6167690
2019-12-24,5574141
2019-12-25,4845786
2019-12-26,5692520
2019-12-27,5248564
2019-12-28,3883393
2019-12-29,3814238
2019-12-30,4386079
2019-12-31,3242315
